condition,eps,sample_id,iterations,execution_time,filename
uncongested,0.01,0,102,15.272583961486816,data/EMA/uncongested/sample_0000.pkl
uncongested,0.01,1,85,15.45767855644226,data/EMA/uncongested/sample_0001.pkl
uncongested,0.01,2,100,15.16859769821167,data/EMA/uncongested/sample_0002.pkl
uncongested,0.01,3,101,14.354819774627686,data/EMA/uncongested/sample_0003.pkl
uncongested,0.01,4,96,17.352028608322144,data/EMA/uncongested/sample_0004.pkl
uncongested,0.01,5,106,18.01421356201172,data/EMA/uncongested/sample_0005.pkl
uncongested,0.01,6,112,17.461789846420288,data/EMA/uncongested/sample_0006.pkl
uncongested,0.01,7,92,11.841330528259277,data/EMA/uncongested/sample_0007.pkl
uncongested,0.01,8,82,14.958529710769653,data/EMA/uncongested/sample_0008.pkl
uncongested,0.01,9,109,15.978585243225098,data/EMA/uncongested/sample_0009.pkl
uncongested,0.01,10,104,17.87583088874817,data/EMA/uncongested/sample_0010.pkl
uncongested,0.01,11,107,18.746190071105957,data/EMA/uncongested/sample_0011.pkl
uncongested,0.01,12,89,16.87432074546814,data/EMA/uncongested/sample_0012.pkl
uncongested,0.01,13,103,14.308987140655518,data/EMA/uncongested/sample_0013.pkl
uncongested,0.01,14,120,19.042919635772705,data/EMA/uncongested/sample_0014.pkl
uncongested,0.01,15,113,21.20321249961853,data/EMA/uncongested/sample_0015.pkl
uncongested,0.01,16,106,19.68090510368347,data/EMA/uncongested/sample_0016.pkl
uncongested,0.01,17,97,16.27041745185852,data/EMA/uncongested/sample_0017.pkl
uncongested,0.01,18,103,19.244916677474976,data/EMA/uncongested/sample_0018.pkl
uncongested,0.01,19,118,15.208366394042969,data/EMA/uncongested/sample_0019.pkl
uncongested,0.01,20,107,14.055402517318726,data/EMA/uncongested/sample_0020.pkl
uncongested,0.01,21,119,21.48753309249878,data/EMA/uncongested/sample_0021.pkl
uncongested,0.01,22,97,17.629087448120117,data/EMA/uncongested/sample_0022.pkl
uncongested,0.01,23,71,9.458101034164429,data/EMA/uncongested/sample_0023.pkl
uncongested,0.01,24,102,16.94705605506897,data/EMA/uncongested/sample_0024.pkl
