condition,eps,sample_id,iterations,execution_time,filename
moderate,0.005,315,70,1.8202743530273438,data/sioux/moderate/sample_0315.pkl
moderate,0.005,659,67,3.5152666568756104,data/sioux/moderate/sample_0659.pkl
moderate,0.005,527,79,5.4809510707855225,data/sioux/moderate/sample_0527.pkl
moderate,0.005,845,78,7.392369985580444,data/sioux/moderate/sample_0845.pkl
moderate,0.005,605,57,8.83758020401001,data/sioux/moderate/sample_0605.pkl
moderate,0.005,9,54,10.258185148239136,data/sioux/moderate/sample_0009.pkl
moderate,0.005,644,79,12.247905731201172,data/sioux/moderate/sample_0644.pkl
moderate,0.005,811,73,14.080606937408447,data/sioux/moderate/sample_0811.pkl
moderate,0.005,638,82,16.076345443725586,data/sioux/moderate/sample_0638.pkl
moderate,0.005,678,69,17.805434942245483,data/sioux/moderate/sample_0678.pkl
moderate,0.005,90,78,19.75490140914917,data/sioux/moderate/sample_0090.pkl
moderate,0.005,65,72,21.57359004020691,data/sioux/moderate/sample_0065.pkl
moderate,0.005,902,77,23.47842574119568,data/sioux/moderate/sample_0902.pkl
moderate,0.005,549,61,25.026633501052856,data/sioux/moderate/sample_0549.pkl
moderate,0.005,723,83,27.067431211471558,data/sioux/moderate/sample_0723.pkl
moderate,0.005,420,65,28.707484245300293,data/sioux/moderate/sample_0420.pkl
moderate,0.005,268,91,30.908000469207764,data/sioux/moderate/sample_0268.pkl
moderate,0.005,112,63,32.49973249435425,data/sioux/moderate/sample_0112.pkl
moderate,0.005,815,86,34.592490911483765,data/sioux/moderate/sample_0815.pkl
moderate,0.005,358,69,36.31791281700134,data/sioux/moderate/sample_0358.pkl
moderate,0.005,292,71,38.10534143447876,data/sioux/moderate/sample_0292.pkl
moderate,0.005,966,62,39.66512680053711,data/sioux/moderate/sample_0966.pkl
moderate,0.005,318,77,41.559903144836426,data/sioux/moderate/sample_0318.pkl
moderate,0.005,998,85,43.67056369781494,data/sioux/moderate/sample_0998.pkl
moderate,0.005,946,72,45.93650579452515,data/sioux/moderate/sample_0946.pkl
moderate,0.005,295,63,47.518630027770996,data/sioux/moderate/sample_0295.pkl
moderate,0.005,403,67,49.19265055656433,data/sioux/moderate/sample_0403.pkl
moderate,0.005,363,65,50.81483507156372,data/sioux/moderate/sample_0363.pkl
moderate,0.005,255,84,52.87595343589783,data/sioux/moderate/sample_0255.pkl
moderate,0.005,25,85,54.98880052566528,data/sioux/moderate/sample_0025.pkl
moderate,0.005,943,87,57.178486347198486,data/sioux/moderate/sample_0943.pkl
moderate,0.005,74,83,59.21345782279968,data/sioux/moderate/sample_0074.pkl
moderate,0.005,514,74,61.03721475601196,data/sioux/moderate/sample_0514.pkl
moderate,0.005,595,69,62.765705585479736,data/sioux/moderate/sample_0595.pkl
moderate,0.005,392,72,64.54540920257568,data/sioux/moderate/sample_0392.pkl
moderate,0.005,130,64,66.13846778869629,data/sioux/moderate/sample_0130.pkl
moderate,0.005,962,68,67.83404922485352,data/sioux/moderate/sample_0962.pkl
moderate,0.005,535,63,69.40474891662598,data/sioux/moderate/sample_0535.pkl
moderate,0.005,376,61,70.9621992111206,data/sioux/moderate/sample_0376.pkl
moderate,0.005,713,68,72.66280174255371,data/sioux/moderate/sample_0713.pkl
moderate,0.005,863,67,74.359539270401,data/sioux/moderate/sample_0863.pkl
moderate,0.005,298,81,76.38002419471741,data/sioux/moderate/sample_0298.pkl
moderate,0.005,870,80,78.3741135597229,data/sioux/moderate/sample_0870.pkl
moderate,0.005,103,68,80.08387470245361,data/sioux/moderate/sample_0103.pkl
moderate,0.005,764,85,82.17055463790894,data/sioux/moderate/sample_0764.pkl
moderate,0.005,300,76,84.10199999809265,data/sioux/moderate/sample_0300.pkl
moderate,0.005,963,70,85.86348366737366,data/sioux/moderate/sample_0963.pkl
moderate,0.005,281,64,87.47073817253113,data/sioux/moderate/sample_0281.pkl
moderate,0.005,701,76,89.34367609024048,data/sioux/moderate/sample_0701.pkl
moderate,0.005,625,77,91.2446231842041,data/sioux/moderate/sample_0625.pkl
moderate,0.005,828,69,92.97127914428711,data/sioux/moderate/sample_0828.pkl
moderate,0.005,937,64,94.58143377304077,data/sioux/moderate/sample_0937.pkl
moderate,0.005,466,73,96.39772272109985,data/sioux/moderate/sample_0466.pkl
moderate,0.005,97,81,98.3931303024292,data/sioux/moderate/sample_0097.pkl
moderate,0.005,446,72,100.20223593711853,data/sioux/moderate/sample_0446.pkl
moderate,0.005,561,77,102.11583232879639,data/sioux/moderate/sample_0561.pkl
moderate,0.005,503,87,104.23808479309082,data/sioux/moderate/sample_0503.pkl
moderate,0.005,933,60,105.73107385635376,data/sioux/moderate/sample_0933.pkl
moderate,0.005,106,61,107.27655911445618,data/sioux/moderate/sample_0106.pkl
moderate,0.005,271,70,108.99168992042542,data/sioux/moderate/sample_0271.pkl
moderate,0.005,290,68,110.68697786331177,data/sioux/moderate/sample_0290.pkl
moderate,0.005,786,64,112.28683423995972,data/sioux/moderate/sample_0786.pkl
moderate,0.005,51,58,113.76327276229858,data/sioux/moderate/sample_0051.pkl
moderate,0.005,207,81,115.7734785079956,data/sioux/moderate/sample_0207.pkl
moderate,0.005,895,79,117.77223634719849,data/sioux/moderate/sample_0895.pkl
moderate,0.005,674,67,119.45825409889221,data/sioux/moderate/sample_0674.pkl
moderate,0.005,577,72,121.25891065597534,data/sioux/moderate/sample_0577.pkl
moderate,0.005,799,70,123.00973773002625,data/sioux/moderate/sample_0799.pkl
moderate,0.005,53,69,124.74870085716248,data/sioux/moderate/sample_0053.pkl
moderate,0.005,855,78,126.68633675575256,data/sioux/moderate/sample_0855.pkl
moderate,0.005,85,58,128.17260456085205,data/sioux/moderate/sample_0085.pkl
moderate,0.005,761,71,129.98533129692078,data/sioux/moderate/sample_0761.pkl
moderate,0.005,452,73,131.78451561927795,data/sioux/moderate/sample_0452.pkl
moderate,0.005,280,56,133.21035027503967,data/sioux/moderate/sample_0280.pkl
moderate,0.005,210,64,134.82947063446045,data/sioux/moderate/sample_0210.pkl
moderate,0.005,843,72,136.61538529396057,data/sioux/moderate/sample_0843.pkl
moderate,0.005,903,52,137.93998217582703,data/sioux/moderate/sample_0903.pkl
moderate,0.005,600,62,139.51510095596313,data/sioux/moderate/sample_0600.pkl
moderate,0.005,127,85,141.61364316940308,data/sioux/moderate/sample_0127.pkl
moderate,0.005,35,76,143.49491596221924,data/sioux/moderate/sample_0035.pkl
moderate,0.005,522,77,145.3872618675232,data/sioux/moderate/sample_0522.pkl
moderate,0.005,873,56,146.8164939880371,data/sioux/moderate/sample_0873.pkl
moderate,0.005,206,68,148.53750944137573,data/sioux/moderate/sample_0206.pkl
moderate,0.005,387,77,150.440194606781,data/sioux/moderate/sample_0387.pkl
moderate,0.005,125,88,152.5980634689331,data/sioux/moderate/sample_0125.pkl
moderate,0.005,44,71,154.365416765213,data/sioux/moderate/sample_0044.pkl
moderate,0.005,168,52,155.70542430877686,data/sioux/moderate/sample_0168.pkl
moderate,0.005,214,68,157.37257194519043,data/sioux/moderate/sample_0214.pkl
moderate,0.005,972,55,158.77557492256165,data/sioux/moderate/sample_0972.pkl
moderate,0.005,45,58,160.25981855392456,data/sioux/moderate/sample_0045.pkl
moderate,0.005,429,64,161.87345719337463,data/sioux/moderate/sample_0429.pkl
moderate,0.005,616,87,163.9954128265381,data/sioux/moderate/sample_0616.pkl
moderate,0.005,491,81,165.9879777431488,data/sioux/moderate/sample_0491.pkl
moderate,0.005,525,104,168.49293756484985,data/sioux/moderate/sample_0525.pkl
moderate,0.005,919,79,170.43345975875854,data/sioux/moderate/sample_0919.pkl
moderate,0.005,546,86,172.5403606891632,data/sioux/moderate/sample_0546.pkl
moderate,0.005,562,70,174.3275113105774,data/sioux/moderate/sample_0562.pkl
moderate,0.005,100,63,175.99114274978638,data/sioux/moderate/sample_0100.pkl
moderate,0.005,131,65,177.64437317848206,data/sioux/moderate/sample_0131.pkl
moderate,0.005,465,63,179.25861144065857,data/sioux/moderate/sample_0465.pkl
moderate,0.005,33,70,181.02377581596375,data/sioux/moderate/sample_0033.pkl
moderate,0.005,788,80,182.99417448043823,data/sioux/moderate/sample_0788.pkl
moderate,0.005,405,55,184.40258884429932,data/sioux/moderate/sample_0405.pkl
moderate,0.005,899,62,185.96018767356873,data/sioux/moderate/sample_0899.pkl
moderate,0.005,360,58,187.43350481987,data/sioux/moderate/sample_0360.pkl
moderate,0.005,28,71,189.19590544700623,data/sioux/moderate/sample_0028.pkl
moderate,0.005,716,97,191.5564444065094,data/sioux/moderate/sample_0716.pkl
moderate,0.005,776,87,193.67697381973267,data/sioux/moderate/sample_0776.pkl
moderate,0.005,27,70,195.40882921218872,data/sioux/moderate/sample_0027.pkl
moderate,0.005,780,80,197.38909268379211,data/sioux/moderate/sample_0780.pkl
moderate,0.005,412,65,199.0405135154724,data/sioux/moderate/sample_0412.pkl
moderate,0.005,588,62,200.61540126800537,data/sioux/moderate/sample_0588.pkl
moderate,0.005,621,75,202.49479818344116,data/sioux/moderate/sample_0621.pkl
moderate,0.005,108,68,204.2174355983734,data/sioux/moderate/sample_0108.pkl
moderate,0.005,135,58,205.6997594833374,data/sioux/moderate/sample_0135.pkl
moderate,0.005,236,88,207.87035608291626,data/sioux/moderate/sample_0236.pkl
moderate,0.005,683,83,209.92239451408386,data/sioux/moderate/sample_0683.pkl
moderate,0.005,499,67,211.62975668907166,data/sioux/moderate/sample_0499.pkl
moderate,0.005,661,69,213.37508869171143,data/sioux/moderate/sample_0661.pkl
moderate,0.005,211,85,215.44144487380981,data/sioux/moderate/sample_0211.pkl
moderate,0.005,256,82,217.46743607521057,data/sioux/moderate/sample_0256.pkl
moderate,0.005,617,68,219.19590163230896,data/sioux/moderate/sample_0617.pkl
moderate,0.005,461,56,220.6518578529358,data/sioux/moderate/sample_0461.pkl
moderate,0.005,194,71,222.42291522026062,data/sioux/moderate/sample_0194.pkl
moderate,0.005,158,73,224.25370335578918,data/sioux/moderate/sample_0158.pkl
moderate,0.005,566,60,225.7919156551361,data/sioux/moderate/sample_0566.pkl
moderate,0.005,718,73,227.627179145813,data/sioux/moderate/sample_0718.pkl
moderate,0.005,555,67,229.31577563285828,data/sioux/moderate/sample_0555.pkl
moderate,0.005,189,75,231.17252159118652,data/sioux/moderate/sample_0189.pkl
moderate,0.005,371,79,233.1165018081665,data/sioux/moderate/sample_0371.pkl
moderate,0.005,640,71,234.89146637916565,data/sioux/moderate/sample_0640.pkl
moderate,0.005,910,95,237.21152019500732,data/sioux/moderate/sample_0910.pkl
moderate,0.005,737,83,239.26356387138367,data/sioux/moderate/sample_0737.pkl
moderate,0.005,258,76,241.15111351013184,data/sioux/moderate/sample_0258.pkl
moderate,0.005,859,60,242.67185640335083,data/sioux/moderate/sample_0859.pkl
moderate,0.005,554,71,244.42958855628967,data/sioux/moderate/sample_0554.pkl
moderate,0.005,681,49,245.71371698379517,data/sioux/moderate/sample_0681.pkl
moderate,0.005,925,77,247.66131925582886,data/sioux/moderate/sample_0925.pkl
moderate,0.005,675,61,249.22493314743042,data/sioux/moderate/sample_0675.pkl
moderate,0.005,500,62,250.81017637252808,data/sioux/moderate/sample_0500.pkl
moderate,0.005,99,96,253.14418268203735,data/sioux/moderate/sample_0099.pkl
moderate,0.005,652,64,254.76615285873413,data/sioux/moderate/sample_0652.pkl
moderate,0.005,830,77,256.6668779850006,data/sioux/moderate/sample_0830.pkl
moderate,0.005,932,92,258.9301083087921,data/sioux/moderate/sample_0932.pkl
moderate,0.005,118,73,260.77177453041077,data/sioux/moderate/sample_0118.pkl
moderate,0.005,120,73,262.60482144355774,data/sioux/moderate/sample_0120.pkl
moderate,0.005,137,78,264.5380916595459,data/sioux/moderate/sample_0137.pkl
moderate,0.005,82,59,266.06112265586853,data/sioux/moderate/sample_0082.pkl
moderate,0.005,627,64,267.6647758483887,data/sioux/moderate/sample_0627.pkl
moderate,0.005,63,68,269.3800530433655,data/sioux/moderate/sample_0063.pkl
moderate,0.005,163,60,270.92216444015503,data/sioux/moderate/sample_0163.pkl
moderate,0.005,151,69,272.6493110656738,data/sioux/moderate/sample_0151.pkl
moderate,0.005,647,74,274.49903631210327,data/sioux/moderate/sample_0647.pkl
moderate,0.005,483,59,276.01189374923706,data/sioux/moderate/sample_0483.pkl
moderate,0.005,648,59,277.524715423584,data/sioux/moderate/sample_0648.pkl
moderate,0.005,296,75,279.406001329422,data/sioux/moderate/sample_0296.pkl
moderate,0.005,706,69,281.1481852531433,data/sioux/moderate/sample_0706.pkl
moderate,0.005,569,85,283.2444853782654,data/sioux/moderate/sample_0569.pkl
moderate,0.005,897,69,284.9798638820648,data/sioux/moderate/sample_0897.pkl
moderate,0.005,529,91,287.2377653121948,data/sioux/moderate/sample_0529.pkl
moderate,0.005,373,65,288.9144070148468,data/sioux/moderate/sample_0373.pkl
moderate,0.005,399,85,291.0157701969147,data/sioux/moderate/sample_0399.pkl
moderate,0.005,715,85,293.10990262031555,data/sioux/moderate/sample_0715.pkl
moderate,0.005,888,82,295.13925337791443,data/sioux/moderate/sample_0888.pkl
moderate,0.005,862,67,296.8251702785492,data/sioux/moderate/sample_0862.pkl
moderate,0.005,571,63,298.4381105899811,data/sioux/moderate/sample_0571.pkl
moderate,0.005,24,56,299.90158462524414,data/sioux/moderate/sample_0024.pkl
moderate,0.005,504,67,301.5813891887665,data/sioux/moderate/sample_0504.pkl
moderate,0.005,115,81,303.61375188827515,data/sioux/moderate/sample_0115.pkl
moderate,0.005,532,69,305.3550229072571,data/sioux/moderate/sample_0532.pkl
moderate,0.005,979,72,307.129967212677,data/sioux/moderate/sample_0979.pkl
moderate,0.005,934,75,308.97020626068115,data/sioux/moderate/sample_0934.pkl
moderate,0.005,325,81,310.95707750320435,data/sioux/moderate/sample_0325.pkl
moderate,0.005,639,77,312.8745231628418,data/sioux/moderate/sample_0639.pkl
moderate,0.005,949,65,314.50271010398865,data/sioux/moderate/sample_0949.pkl
moderate,0.005,534,68,316.21283078193665,data/sioux/moderate/sample_0534.pkl
moderate,0.005,857,64,317.8249320983887,data/sioux/moderate/sample_0857.pkl
moderate,0.005,64,79,319.7537863254547,data/sioux/moderate/sample_0064.pkl
moderate,0.005,7,83,321.7971258163452,data/sioux/moderate/sample_0007.pkl
moderate,0.005,2,70,323.56960582733154,data/sioux/moderate/sample_0002.pkl
moderate,0.005,42,85,325.637419462204,data/sioux/moderate/sample_0042.pkl
moderate,0.005,195,68,327.35325813293457,data/sioux/moderate/sample_0195.pkl
moderate,0.005,560,85,329.4324269294739,data/sioux/moderate/sample_0560.pkl
moderate,0.005,413,96,331.77302622795105,data/sioux/moderate/sample_0413.pkl
moderate,0.005,533,81,333.76675295829773,data/sioux/moderate/sample_0533.pkl
moderate,0.005,690,73,335.5779414176941,data/sioux/moderate/sample_0690.pkl
moderate,0.005,524,54,336.9618670940399,data/sioux/moderate/sample_0524.pkl
moderate,0.005,954,72,338.73338866233826,data/sioux/moderate/sample_0954.pkl
moderate,0.005,396,66,340.3897223472595,data/sioux/moderate/sample_0396.pkl
moderate,0.005,411,76,342.25603437423706,data/sioux/moderate/sample_0411.pkl
moderate,0.005,355,87,344.3785619735718,data/sioux/moderate/sample_0355.pkl
moderate,0.005,238,71,346.1312391757965,data/sioux/moderate/sample_0238.pkl
moderate,0.005,740,71,347.94116616249084,data/sioux/moderate/sample_0740.pkl
moderate,0.005,874,65,349.5835063457489,data/sioux/moderate/sample_0874.pkl
moderate,0.005,101,70,351.33317971229553,data/sioux/moderate/sample_0101.pkl
moderate,0.005,984,75,353.1844849586487,data/sioux/moderate/sample_0984.pkl
moderate,0.005,893,63,354.7761516571045,data/sioux/moderate/sample_0893.pkl
moderate,0.005,574,70,356.5356228351593,data/sioux/moderate/sample_0574.pkl
moderate,0.005,720,63,358.1096305847168,data/sioux/moderate/sample_0720.pkl
moderate,0.005,142,79,360.05588841438293,data/sioux/moderate/sample_0142.pkl
