condition,eps,sample_id,iterations,execution_time,filename
uncongested,0.005,315,174,7.069132089614868,data/sioux/uncongested/sample_0315.pkl
uncongested,0.005,659,103,9.548385620117188,data/sioux/uncongested/sample_0659.pkl
uncongested,0.005,527,51,11.277117490768433,data/sioux/uncongested/sample_0527.pkl
uncongested,0.005,845,85,13.804802417755127,data/sioux/uncongested/sample_0845.pkl
uncongested,0.005,605,173,18.072620391845703,data/sioux/uncongested/sample_0605.pkl
uncongested,0.005,9,99,20.741594791412354,data/sioux/uncongested/sample_0009.pkl
uncongested,0.005,644,162,25.22164297103882,data/sioux/uncongested/sample_0644.pkl
uncongested,0.005,811,78,27.245328187942505,data/sioux/uncongested/sample_0811.pkl
uncongested,0.005,638,134,30.543917417526245,data/sioux/uncongested/sample_0638.pkl
uncongested,0.005,678,30,31.484858512878418,data/sioux/uncongested/sample_0678.pkl
uncongested,0.005,90,88,34.178826093673706,data/sioux/uncongested/sample_0090.pkl
uncongested,0.005,65,19,34.84046769142151,data/sioux/uncongested/sample_0065.pkl
uncongested,0.005,902,102,37.63180136680603,data/sioux/uncongested/sample_0902.pkl
uncongested,0.005,549,151,41.20126938819885,data/sioux/uncongested/sample_0549.pkl
uncongested,0.005,723,115,43.9213342666626,data/sioux/uncongested/sample_0723.pkl
uncongested,0.005,420,151,48.04571509361267,data/sioux/uncongested/sample_0420.pkl
uncongested,0.005,268,112,51.03231716156006,data/sioux/uncongested/sample_0268.pkl
uncongested,0.005,112,129,54.17164492607117,data/sioux/uncongested/sample_0112.pkl
uncongested,0.005,815,53,55.5269570350647,data/sioux/uncongested/sample_0815.pkl
uncongested,0.005,358,112,58.209930419921875,data/sioux/uncongested/sample_0358.pkl
uncongested,0.005,292,188,62.770357608795166,data/sioux/uncongested/sample_0292.pkl
uncongested,0.005,966,145,66.21934747695923,data/sioux/uncongested/sample_0966.pkl
uncongested,0.005,318,161,69.96768712997437,data/sioux/uncongested/sample_0318.pkl
uncongested,0.005,998,127,72.97646045684814,data/sioux/uncongested/sample_0998.pkl
uncongested,0.005,946,180,77.16621136665344,data/sioux/uncongested/sample_0946.pkl
uncongested,0.005,295,88,79.31161093711853,data/sioux/uncongested/sample_0295.pkl
uncongested,0.005,403,141,82.61266040802002,data/sioux/uncongested/sample_0403.pkl
uncongested,0.005,363,15,83.11093664169312,data/sioux/uncongested/sample_0363.pkl
uncongested,0.005,255,149,86.57554411888123,data/sioux/uncongested/sample_0255.pkl
uncongested,0.005,25,196,91.09595108032227,data/sioux/uncongested/sample_0025.pkl
uncongested,0.005,943,179,95.25245118141174,data/sioux/uncongested/sample_0943.pkl
uncongested,0.005,74,133,98.39383864402771,data/sioux/uncongested/sample_0074.pkl
uncongested,0.005,514,51,99.67668271064758,data/sioux/uncongested/sample_0514.pkl
uncongested,0.005,595,160,103.42895913124084,data/sioux/uncongested/sample_0595.pkl
uncongested,0.005,392,40,104.46473860740662,data/sioux/uncongested/sample_0392.pkl
uncongested,0.005,130,150,107.96647691726685,data/sioux/uncongested/sample_0130.pkl
uncongested,0.005,962,155,111.54450368881226,data/sioux/uncongested/sample_0962.pkl
uncongested,0.005,535,131,114.66623115539551,data/sioux/uncongested/sample_0535.pkl
uncongested,0.005,376,162,118.43594193458557,data/sioux/uncongested/sample_0376.pkl
uncongested,0.005,713,190,122.8347442150116,data/sioux/uncongested/sample_0713.pkl
uncongested,0.005,863,211,127.69114446640015,data/sioux/uncongested/sample_0863.pkl
uncongested,0.005,298,161,131.43799376487732,data/sioux/uncongested/sample_0298.pkl
uncongested,0.005,870,66,133.08015632629395,data/sioux/uncongested/sample_0870.pkl
uncongested,0.005,103,102,135.50238871574402,data/sioux/uncongested/sample_0103.pkl
uncongested,0.005,764,23,136.200261592865,data/sioux/uncongested/sample_0764.pkl
uncongested,0.005,300,130,139.2504699230194,data/sioux/uncongested/sample_0300.pkl
uncongested,0.005,963,62,140.79689025878906,data/sioux/uncongested/sample_0963.pkl
uncongested,0.005,281,155,144.44245290756226,data/sioux/uncongested/sample_0281.pkl
uncongested,0.005,701,173,148.44391417503357,data/sioux/uncongested/sample_0701.pkl
uncongested,0.005,625,139,151.7062017917633,data/sioux/uncongested/sample_0625.pkl
uncongested,0.005,828,176,155.77508759498596,data/sioux/uncongested/sample_0828.pkl
uncongested,0.005,937,221,160.89853262901306,data/sioux/uncongested/sample_0937.pkl
uncongested,0.005,466,168,164.79796290397644,data/sioux/uncongested/sample_0466.pkl
uncongested,0.005,97,191,169.25750422477722,data/sioux/uncongested/sample_0097.pkl
uncongested,0.005,446,171,173.23655581474304,data/sioux/uncongested/sample_0446.pkl
uncongested,0.005,561,163,177.00749945640564,data/sioux/uncongested/sample_0561.pkl
uncongested,0.005,503,49,178.23430347442627,data/sioux/uncongested/sample_0503.pkl
uncongested,0.005,933,205,182.95553159713745,data/sioux/uncongested/sample_0933.pkl
uncongested,0.005,106,193,187.38659405708313,data/sioux/uncongested/sample_0106.pkl
uncongested,0.005,271,205,192.10966444015503,data/sioux/uncongested/sample_0271.pkl
uncongested,0.005,290,101,194.5613522529602,data/sioux/uncongested/sample_0290.pkl
uncongested,0.005,786,76,196.42820572853088,data/sioux/uncongested/sample_0786.pkl
uncongested,0.005,51,174,200.49085068702698,data/sioux/uncongested/sample_0051.pkl
uncongested,0.005,207,90,202.69918513298035,data/sioux/uncongested/sample_0207.pkl
uncongested,0.005,895,193,207.15701413154602,data/sioux/uncongested/sample_0895.pkl
uncongested,0.005,674,55,208.65493941307068,data/sioux/uncongested/sample_0674.pkl
uncongested,0.005,577,167,212.52773571014404,data/sioux/uncongested/sample_0577.pkl
uncongested,0.005,799,119,215.35064220428467,data/sioux/uncongested/sample_0799.pkl
uncongested,0.005,53,198,219.95482683181763,data/sioux/uncongested/sample_0053.pkl
uncongested,0.005,855,201,224.59614968299866,data/sioux/uncongested/sample_0855.pkl
uncongested,0.005,85,143,227.95943546295166,data/sioux/uncongested/sample_0085.pkl
uncongested,0.005,761,98,230.3682849407196,data/sioux/uncongested/sample_0761.pkl
uncongested,0.005,452,214,235.31074810028076,data/sioux/uncongested/sample_0452.pkl
uncongested,0.005,280,203,240.0151481628418,data/sioux/uncongested/sample_0280.pkl
uncongested,0.005,210,26,240.75690174102783,data/sioux/uncongested/sample_0210.pkl
uncongested,0.005,843,153,244.33997249603271,data/sioux/uncongested/sample_0843.pkl
uncongested,0.005,903,161,248.08718991279602,data/sioux/uncongested/sample_0903.pkl
uncongested,0.005,600,143,251.43460416793823,data/sioux/uncongested/sample_0600.pkl
uncongested,0.005,127,107,253.97361946105957,data/sioux/uncongested/sample_0127.pkl
